word1,word2,frequency
"the","administrator",30
"connecticut","thank",30
"and","access",30
"conditions","treat",30
"behavioral","staff",30
"like","this",30
"coverage","waiting",30
"emergency","shelter",30
"available","due",30
"and","regional",30
"with","less",30
"connecticut","voices",30
"just","one",30
"highest","quality",30
"door","they",30
"friends","and",30
"for","creating",30
"offer","mental",30
"life","stresses",30
"needed","health",30
"made","affordable",30
"sbhcs","offer",30
"based","strategy",30
"state","money",30
"body","this",30
"creating","access",30
"sbhcs","typically",30
"cross","that",30
"these","families",30
"recognize","the",30
"children","school",30
"stigma","because",30
"medical","school",30
"students","family",30
"beth","bye",30
"are","brought",30
"poverty","trauma",30
"cost","lack",30
"network","provides",30
"turn","allows",30
"for","any",30
"upon","the",30
"classroom","ready",30
"eliminate","the",30
"the","tools",30
"can","coordinate",30
"children","today",30
"being","counterproductive",30
"nurses","can",30
"healthier","student",30
"stress","than",30
"educational","learning",30
"each","other",30
"breaks","through",30
"saving","the",30
"exams","oral",30
"regional","boards",30
"significantly","cut",30
"medical","exams",30
"appointment","sbhcs",30
"without","embarrassment",30
"best","possible",30
"schedules","that",30
"readily","identifiable",30
"with","resources",30
"working","families",30
"are","obstacles",30
"the","fatherhood",30
"issues","children",30
"parents","who",30
"this","system",30
"obstacles","are",30
"the","cut",30
"reducing","healthcare",30
"provides","the",30
"information","about",30
"johnson","memorial",30
"trauma","fears",30
"preventive","medical",30
"you","please",30
"not","know",30
"followup","care",30
"addressing","all",30
"date","february",30
"provide","followup",30
"funds","are",30
"process","and",30
"opportunities","and",30
"they","would",30
"health","centerssbhcs",30
"sbhcs","sbhcs",30
"support","that",30
"treatment","address",30
"sbhcs","breaks",30
"professional","development",30
"staff","availability",30
"the","nursing",30
"children","behavioral",30
"typically","offer",30
"connecticut","school",30
"that","helps",30
"ziobron","and",30
"school","addresses",30
"students","children",30
"access","needed",30
"disparities","amongst",30
"care","can",30
"resource","center",30
"treat","injuries",30
"rst","aid",30
"strongly","oppose",30
"next","generation",30
"term","care",30
"western","connecticut",29
"much","needed",29
"the","effect",29
"traumatic","brain",29
"live","and",29
"which","have",29
"and","over",29
"with","more",29
"impact","our",29
"reverse","the",29
"uconn","students",29
"years","budget",29
"assault","crisis",29
"which","the",29
"not","for",29
"support","from",29
"many","others",29
"life","for",29
"the","key",29
"was","diagnosed",29
"use","the",29
"housing","for",29
"and","hands",29
"four","years",29
"explore","different",29
"the","fall",29
"the","consolidation",29
"submit","written",29
"community","resources",29
"and","even",29
"budget","adjustment",29
"ensuring","that",29
"can","have",29
"promote","the",29
"our","efforts",29
"shows","that",29
"that","were",29
"the","uconn",29
"the","costs",29
"the","small",29
"our","staff",29
"center","grant",29
"that","for",29
"now","have",29
"available","for",29
"and","his",29
"year","after",29
"the","lack",29
"learn","and",29
"progress","made",29
"health","programs",29
"services","from",29
"dds","and",29
"school","year",29
"service","system",29
"and","adults",29
"not","want",29
"state","with",29
"who","was",29
"the","waterbury",29
"end","homelessness",29
"the","youth",29
"critically","important",29
"local","communities",29
"funds","and",29
"and","cost",29
"reaching","home",28
"which","includes",28
"young","women",28
"community","nonprofit",28
"involved","with",28
"prepared","for",28
"are","our",28
"responsible","for",28
"cuts","are",28
"need","more",28
"they","serve",28
"the","permanent",28
"this","past",28
"and","practiced",28
"net","program",28
"reject","the",28
"the","area",28
"the","early",28
"past","year",28
"also","have",28
"daunting","and",28
"practiced","valuable",28
"vulnerable","populations",28
"the","recommended",28
"rights","and",28
"and","one",28
"tourism","district",28
"from","dds",28
"more","people",28
"and","management",28
"care","but",28
"with","over",28
"residents","who",28
"states","most",28
"more","money",28
"contracts","with",28
"years","with",28
"task","before",28
"they","also",28
"services","offered",28
"all","children",28
"five","years",28
"inspiring","health",28
"with","some",28
"and","reduce",28
"recognize","that",28
"students","the",28
"council","and",28
"social","work",28
"during","this",28
"recommended","budget",28
"you","the",28
"magnet","school",28
"that","supports",28
"are","unable",28
"services","this",28
"local","prevention",28
"medicaid","waiver",28
"probate","courts",28
"latino","and",28
"established","organization",28
"our","own",28
"proposal","for",28
"for","fiscal",28
"and","child",28
"them","for",28
"you","face",28
"than","years",28
"east","hartford",28
"occupancy","tax",28
"the","yhsc",28
"agency","that",28
"who","would",28
"and","every",28
"representative","ziobron",28
"healthy","food",28
"more","and",28
"from","connecticut",28
"management","and",28
"long","run",28
"our","economy",27
"from","their",27
"concerned","with",27
"state","can",27
"treatment","and",27
"operating","budget",27
"great","university",27
"day","and",27
"the","short",27
"increases","for",27
"more","costly",27
"and","hope",27
"dealing","with",27
"implement","meaningful",27
"for","its",27
"for","young",27
"with","children",27
"staff","members",27
"torrington","even",27
"the","childcare",27
"about","our",27
"services","such",27
"meaningful","service",27
"learning","centers",27
"for","uconn",27
"high","risk",27
"supports","for",27
"that","need",27
"travel","and",27
"the","college",27
"and","girls",27
"the","power",27
"rican","affairs",27
"the","cycle",27
"myself","and",27
"manage","and",27
"have","become",27
"this","proposed",27
"social","and",27
"believe","the",27
"the","achievement",27
"parents","are",27
"the","results",27
"from","across",27
"the","longterm",27
"any","proposed",27
"free","and",27
"marketing","funding",27
"health","from",27
"right","thing",27
"center","inc",27
"home","for",27
"and","funding",27
"are","still",27
"state","will",27
"additional","cuts",27
"the","rmhbs",27
"leadingage","connecticut",27
"important","and",27
"understand","how",27
"more","expensive",27
"the","core",27
"come","from",27
"would","otherwise",27
"you","testimony",27
"compliance","with",27
"their","homes",27
"been","proposed",27
"account","for",27
"and","medicaid",27
"advocating","for",27
"community","partners",27
"here","are",27
"represent","the",27
"connecticut","are",27
"save","the",27
"reasons","that",26
"but","not",26
"relationship","with",26
"executive","branch",26
"even","though",26
"workforce","and",26
"avenue","hartford",26
"who","live",26
"avenue","bridgeport",26
"between","and",26
"school","programs",26
"emergency","department",26
"for","his",26
"year","these",26
"help","and",26
"how","many",26
"opportunity","for",26
"been","the",26
"economic","activity",26
"schoolbased","health",26
"you","consider",26
"programs","including",26
"item","for",26
"these","agencies",26
"with","many",26
"dont","know",26
"their","child",26
"the","independent",26
"asking","for",26
"envy","the",26
"year","over",26
"bridge","house",26
"this","month",26
"and","ceo",26
"use","and",26
"difficult","decisions",26
"below","the",26
"only","way",26
"healthy","and",26
"the","recent",26
"association","for",26
"mean","that",26
"have","received",26
"these","patients",26
"fax","email",26
"the","parents",26
"day","with",26
"home","visiting",26
"share","with",26
"the","burden",26
"old","and",26
"eliminate","funding",26
"can","only",26
"harder","and",26
"honorable","members",26
"dss","would",26
"our","center",26
"services","required",26
"very","concerned",26
"the","top",26
"with","developmental",26
"ive","been",26
"serving","the",26
"new","york",26
"childhood","and",26
"state","funds",26
"plans","for",26
"and","hospitals",26
"the","data",26
"cost","savings",26
"with","young",26
"our","region",26
"provide","care",26
"direct","services",26
"balance","the",26
"the","more",26
"the","full",26
"the","communities",26
"nami","connecticut",26
"but","they",26
"charter","school",26
"the","alzheimers",26
"criminal","justice",26
"leadership","and",26
"providing","services",26
"needs","are",26
"the","use",26
"also","provide",26
"state","employee",26
"first","nonprofit",26
"the","workforce",26
"the","connection",26
"the","commissions",26
"support","this",26
"our","system",26
"state","agency",26
"who","work",26
"the","behavioral",26
"years","later",26
"financial","aid",26
"districts","and",25
"will","take",25
"without","adequate",25
"sensitivity","without",25
"programs","such",25
"take","this",25
"magnet","schools",25
"caregivers","and",25
"appreciates","the",25
"with","and",25
"important","for",25
"bachelors","degree",25
"end","chronic",25
"adults","with",25
"prescription","drug",25
"the","station",25
"are","daunting",25
"this","session",25
"the","provision",25
"waiver","application",25
"and","take",25
"the","individual",25
"any","mental",25
"wage","and",25
"social","security",25
"and","beyond",25
"federal","funds",25
"asking","that",25
"proposed","million",25
"sacred","heart",25
"senator","beth",25
"challenges","and",25
"the","torrington",25
"the","result",25
"meet","inspiring",25
"the","positive",25
"more","cuts",25
"for","care",25
"and","young",25
"please","dont",25
"and","use",25
"current","state",25
"healthcare","services",25
"you","again",25
"there","were",25
"been","reduced",25
"centers","provide",25
"that","serve",25
"much","for",25
"total","costs",25
"these","budget",25
"street","enfield",25
"with","eastern",25
"these","people",25
"level","and",25
"the","administration",25
"vital","services",25
"cover","the",25
"challenges","you",25
"have","provided",25
"which","they",25
"the","prevention",25
"they","receive",25
"wide","range",25
"its","own",25
"federal","government",25
"medicaid","and",25
"and","your",25
"are","proud",25
"june","department",25
"all","ages",25
"list","for",25
"hours","per",25
"legislature","and",25
"health","can",25
"the","growing",25
"adequate","rates",25
"food","certification",25
"from","all",25
"for","both",25
"with","dignity",25
"here","tonight",25
"transparency","and",25
"youth","health",25
"malloys","proposed",25
"concerned","that",25
"discuss","the",25
"has","become",25
"can","make",25
"and","safety",25
"the","present",25
"have","never",25
"note","that",25
"addition","the",25
"elementary","school",24
"statewide","respite",24
"families","network",24
"treatment","services",24
"who","were",24
"june","good",24
"your","ongoing",24
"representative","toni",24
"street","new",24
"are","concerned",24
"the","environment",24
"place","for",24
"the","vast",24
"eastern","ahec",24
"long","time",24
"preserve","the",24
"the","main",24
"and","ensure",24
"your","regular",24
"and","when",24
"being","able",24
"economic","analysis",24
"day","care",24
"for","providing",24
"justice","and",24
"they","want",24
"for","women",24
"childrens","medical",24
"child","and",24
"achievement","first",24
"cost","evaluation",24
"will","play",24
"heart","university",24
"the","difficult",24
"not","get",24
"that","help",24
"enough","the",24
"and","consolidate",24
"their","community",24
"african","american",24
"care","that",24
"coordinated","access",24
"childhood","collaborative",24
"health","profession",24
"has","proven",24
"and","attention",24
"longer","have",24
"june","submitted",24
"problems","and",24
"real","difference",24
"budget","thank",24
"state","our",24
"states","future",24
"connecticuts","most",24
"but","that",24
"cris","radio",24
"submit","this",24
"respectfully","ask",24
"waiting","for",24
"you","not",24
"important","services",24
"towns","and",24
"other","programs",24
"professionals","obtain",24
"crucial","services",24
"home","with",24
"this","process",24
"school","breakfast",24
"connecticut","council",24
"state","support",24
"employment","opportunities",24
"her","and",24
"the","study",24
"the","clients",24
"incredible","support",24
"not","stress",24
"this","new",24
"includes","the",24
"governor","and",24
"trained","and",24
"this","population",24
"for","social",24
"community","education",24
"reconsider","the",24
"today","and",24
"recent","years",24
"committee","thursday",24
"provides","comprehensive",24
"health","for",24
"regional","centers",24
"resource","for",24
"may","concern",24
"over","year",23
"for","nursing",23
"how","they",23
"ten","years",23
"legislative","office",23
"was","also",23
"hartford","connecticut",23
"like","myself",23
"the","diverse",23
"day","center",23
"are","essential",23
"emergency","rooms",23
"parent","leadership",23
"and","employment",23
"states","budget",23
"medicine","you",23
"the","reasons",23
"are","important",23
"for","high",23
"funding","would",23
"dollars","and",23
"mission","and",23
"and","early",23
"time","the",23
"the","childrens",23
"families","the",23
"are","under",23
"idea","that",23
"these","efforts",23
"the","obligations",23
"create","the",23
"this","years",23
"uconn","school",23
"and","expand",23
"workers","compensation",23
"who","had",23
"long","island",23
"was","created",23
"independence","northwest",23
"parks","and",23
"released","last",23
"the","table",23
"consideration","and",23
"the","victim",23
"advocacy","services",23
"knowledge","and",23
"breakfast","program",23
"fund","and",23
"the","block",23
"the","foundation",23
"save","money",23
"the","voices",23
"connecticut","this",23
"ofce","extend",23
"fear","they",23
"currently","attend",23
"without","any",23
"injury","survivors",23
"and","national",23
"evening","and",23
"students","from",23
"and","you",23
"the","clinical",23
"transportation","and",23
"the","alliance",23
"local","community",23
"and","housing",23
"medicaid","services",23
"the","district",23
"our","medicaid",23
"that","their",23
"from","being",23
"the","summer",23
"will","leave",23
"the","difference",23
"extremely","difficult",23
"within","our",23
"more","with",23
"help","from",23
"alzheimers","disease",23
"live","independently",23
"change","and",23
"faculty","and",23
"current","funding",23
"our","loved",23
"voice","for",23
"providers","are",23
"not","being",23
"housing","with",23
"organization","this",23
"health","through",23
"for","school",23
"funding","february",23
"the","bottom",23
"been","working",23
"the","kind",23
"services","dds",23
"naeyc","accredited",23
"cost","the",23
"provide","for",23
"the","population",23
"and","thank",23
"state","investments",23
"state","residents",23
"careers","through",23
"crisis","services",23
"public","education",23
"give","the",23
"the","unique",22
"again","for",22
"are","required",22
"network","and",22
"and","from",22
"techniques","and",22
"our","home",22
"country","and",22
"money","and",22
"the","boards",22
"our","facility",22
"advocacy","organization",22
"there","has",22
"future","leaders",22
"communitybased","services",22
"food","and",22
"child","first",22
"middle","school",22
"now","and",22
"our","shelter",22
"apply","for",22
"that","money",22
"english","language",22
"accounted","for",22
"and","get",22
"has","worked",22
"and","program",22
"proposed","elimination",22
"not","provide",22
"program","with",22
"network","responds",22
"funded","and",22
"bridgeport","and",22
"the","contract",22
"greater","new",22
"not","support",22
"obtain","cpr",22
"way","that",22
"for","several",22
"healthcare","workforce",22
"from","uconn",22
"regional","and",22
"cuts","proposed",22
"what","will",22
"commission","and",22
"support","their",22
"february","page",22
"and","technical",22
"with","that",22
"greater","waterbury",22
"community","schools",22
"committee","the",22
"meet","our",22
"connecticut","agricultural",22
"staff","that",22
"your","help",22
"committee","hearing",22
"are","committed",22
"addition","eastern",22
"services","has",22
"devastating","and",22
"and","communitybased",22
"would","reverse",22
"students","that",22
"the","social",22
"community","living",22
"evening","cochairs",22
"learn","how",22
"learning","and",22
"never","been",22
"early","detection",22
"which","provides",22
"disabilities","who",22
"severe","impact",22
"and","teachers",22
"community","engagement",22
"back","into",22
"the","continued",22
"lose","their",22
"their","childrens",22
"for","legal",22
"and","therefore",22
"systems","and",22
"and","build",22
"stream","for",22
"right","now",22
"connecticut","that",22
"you","very",22
"effect","will",22
"system","the",22
"talk","about",22
"and","transportation",22
"for","other",22
"services","through",22
"health","next",22
"think","that",22
"the","schools",22
"out","and",22
"other","community",22
"learn","the",22
"only","one",22
"there","for",22
"law","enforcement",22
"practices","and",22
"more","importantly",22
"federal","and",22
"one","day",22
"physical","and",22
"regular","investments",22
"budget","decit",22
"that","every",22
"and","connecticut",22
"justice","system",22
"provide","access",22
"the","significant",22
"the","residential",22
"central","area",22
"the","one",22
"local","public",22
"facilities","and",22
"this","includes",22
"cuts","the",22
"things","that",22
"programs","with",22
"learning","program",22
"their","parents",22
"the","agencys",22
"disability","and",22
"your","incredible",22
"care","team",22
"cuts","for",22
"funding","through",22
"the","requirements",22
"far","the",22
"the","information",22
"committee","testimony",22
"with","community",22
"middletown","adult",22
"continued","marketing",22
"cut","from",21
"the","dark",21
"need","your",21
"and","leadership",21
"patients","who",21
"the","course",21
"budget","process",21
"and","helped",21
"anyone","who",21
"and","wellness",21
"for","that",21
"for","myself",21
"his","own",21
"first","year",21
"that","allows",21
"and","towns",21
"provide","tremendous",21
"the","statefunded",21
"alzheimers","respite",21
"our","young",21
"northwestern","ahec",21
"impact","that",21
"the","honorable",21
"the","caes",21
"intervention","and",21
"center","the",21
"the","greatest",21
"the","beginning",21
"support","group",21
"our","capacity",21
"the","patient",21
"future","and",21
"become","more",21
"homelessness","and",21
"and","emotional",21
"the","additional",21
"proposal","the",21
"day","programs",21
"and","referral",21
"office","building",21
"has","allowed",21
"and","healthcare",21
"the","risk",21
"residents","are",21
"concerns","about",21
"and","effective",21
"and","become",21
"son","and",21
"care","kids",21
"state","contract",21
"and","keep",21
"will","see",21
"agency","and",21
"nonprofit","organization",21
"rate","setting",21
"whom","are",21
"please","restore",21
"this","service",21
"make","this",21
"separate","line",21
"dignity","and",21
"child","abuse",21
"costs","for",21
"that","when",21
"feel","like",21
"their","home",21
"and","engineering",21
"the","mandated",21
"you","all",21
"many","students",21
"all","other",21
"health","equity",21
"court","advocacy",21
"toni","walker",21
"must","have",21
"over","people",21
"second","chance",21
"this","cost",21
"daily","basis",21
"others","who",21
"with","regard",21
"can","provide",21
"communities","that",21
"these","proposed",21
"connect","with",21
"food","stamps",21
"work","the",21
"ask","the",21
"and","provides",21
"about","their",21
"public","higher",21
"years","while",21
"for","patients",21
"where","there",21
"learning","center",21
"serve","and",21
"the","partnership",21
"and","careers",21
"have","increased",21
"suffer","from",21
"business","and",21
"these","essential",21
"and","students",21
"island","sound",21
"services","program",21
"with","uconn",21
"our","employees",21
"committee","connecticut",21
"the","three",21
"within","their",21
"will","allow",21
"the","research",21
"and","learning",21
"testimony","today",21
"give","back",21
"people","from",21
"current","services",21
"schools","that",21
"our","teachers",21
"needs","including",21
"the","job",21
"was","included",21
"budget","released",21
"and","needed",21
"peoples","lives",21
"data","collection",21
"some","cases",21
"provide","quality",21
"direct","care",21
"celebrating","years",21
"their","independence",21
"after","year",21
"connecticut","our",21
"prevention","programs",21
"review","and",21
"disabilities","with",21
"the","academic",20
"cuts","enough",20
"extremely","important",20
"clients","and",20
"with","new",20
"money","was",20
"medical","care",20
"all","students",20
"too","many",20
"difficult","choices",20
"council","funding",20
"must","not",20
"street","middletown",20
"with","severe",20
"the","effects",20
"community","plans",20
"has","given",20
"ofthe","appropriations",20
"newest","techniques",20
"been","involved",20
"our","goal",20
"toll","free",20
"the","hundreds",20
"possible","care",20
"are","provided",20
"are","too",20
"consistent","with",20
"respectfully","request",20
"crisis","intervention",20
"with","its",20
"university","and",20
"prevention","partnership",20
"goals","and",20
"one","that",20
"uconn","has",20
"and","working",20
"boys","and",20
"youth","with",20
"and","increased",20
"decit","are",20
"with","your",20
"the","promise",20
"february","celebrating",20
"our","lives",20
"year","our",20
"pay","our",20
"biac","provides",20
"deficit","mitigation",20
"years","biac",20
"showing","that",20
"director","for",20
"important","matter",20
"adult","services",20
"and","should",20
"congregate","care",20
"the","afp",20
"and","accountability",20
"governors","midterm",20
"and","information",20
"families","have",20
"family","learning",20
"with","services",20
"patients","with",20
"that","work",20
"health","budget",20
"medicare","and",20
"reinstate","the",20
"has","served",20
"training","school",20
"now","the",20
"abuse","neglect",20
"can","help",20
"persons","who",20
"help","shape",20
"budget","hearing",20
"for","everything",20
"legal","assistance",20
"abuse","treatment",20
"and","physical",20
"assistance","with",20
"connecticut","center",20
"children","families",20
"throughout","our",20
"are","going",20
"all","our",20
"shown","that",20
"emergency","room",20
"the","housing",20
"decisions","that",20
"all","patients",20
"activities","and",20
"vulnerable","children",20
"understanding","that",20
"these","deep",20
"the","capitol",20
"into","our",20
"the","responsibility",20
"that","students",20
"the","legislatures",20
"being","done",20
"education","the",20
"dont","envy",20
"current","fiscal",20
"week","creates",20
"was","going",20
"not","able",20
"prescription","drugs",20
"residential","and",20
"and","promote",20
"their","services",20
"would","mean",20
"program","will",20
"core","service",20
"population","and",20
"someone","who",20
"decision","making",20
"including","those",20
"need","additional",20
"your","constituents",20
"the","lprac",20
"million","dollar",20
"about","what",20
"governors","recommended",20
"the","service",20
"close","the",20
"the","newest",19
"and","million",19
"the","cils",19
"tax","revenues",19
"boards","are",19
"every","child",19
"that","more",19
"money","for",19
"college","students",19
"out","with",19
"commpact","community",19
"care","one",19
"connecticut","statewide",19
"middlesex","county",19
"the","patients",19
"effect","change",19
"policy","director",19
"providing","information",19
"the","emergency",19
"other","agencies",19
"past","two",19
"current","and",19
"inc","the",19
"school","district",19
"these","two",19
"for","economic",19
"but","for",19
"leave","the",19
"system","will",19
"funded","with",19
"two","generation",19
"the","eastern",19
"levels","and",19
"grants","and",19
"catchment","area",19
"policies","that",19
"her","own",19
"wheeler","clinic",19
"and","out",19
"association","and",19
"think","about",19
"months","and",19
"all","over",19
"and","after",19
"the","blind",19
"many","different",19
"consideration","please",19
"provides","services",19
"financial","resources",19
"and","environmental",19
"than","one",19
"current","budget",19
"themselves","and",19
"appropriations","hearing",19
"have","come",19
"the","training",19
"our","neighbors",19
"are","among",19
"and","high",19
"evaluation","and",19
"operations","and",19
"experience","and",19
"her","life",19
"the","chcpe",19
"connecticut","prevention",19
"are","just",19
"growth","and",19
"many","times",19
"state","for",19
"have","remained",19
"the","growth",19
"and","ultimately",19
"from","these",19
"care","coordination",19
"employees","union",19
"home","visitation",19
"for","two",19
"culture","and",19
"see","that",19
"benefits","and",19
"the","waiver",19
"the","annual",19
"the","retreat",19
"the","central",19
"with","great",19
"human","rights",19
"their","rights",19
"school","the",19
"services","include",19
"hope","for",19
"our","society",19
"break","the",19
"workforce","that",19
"health","partnership",19
"connecticut","legislature",19
"about","this",19
"affordable","and",19
"student","government",19
"person","with",19
"cities","and",19
"statefunded","portion",19
"and","prevention",19
"recovery","and",19
"works","with",19
"didnt","have",19
"programs","through",19
"medical","necessity",19
"all","that",19
"impact","patient",19
"order","for",19
"was","leveraged",19
"health","will",19
"representative","abercrombie",19
"funds","that",19
"continue","funding",19
"having","the",19
"their","education",19
"can","meet",19
"care","homes",19
"history","and",19
"english","and",19
"easy","breathing",19
"our","caregivers",19
"identification","and",19
"help","people",19
"with","alzheimers",19
"programs","these",19
"grant","the",19
"many","challenges",19
"statewide","marketing",19
"services","available",19
"please","support",19
"you","with",19
"important","that",19
"control","programs",19
"committee","from",19
"that","most",19
"all","these",19
"severe","mental",19
"years","this",19
"very","little",19
"breast","and",19
"the","reaching",19
"well","trained",19
"health","addiction",19
"sustain","the",19
"stamford","hospital",19
"and","life",19
"train","our",19
"and","cervical",19
"intellectual","disability",19
"board","and",19
"care","they",19
"communities","the",19
"was","born",19
"the","parks",19
"educational","and",19
"operate","uconn",19
"can","tell",19
"cervical","cancer",19
"not","even",19
"more","about",18
"nursing","care",18
"for","higher",18
"consolidate","the",18
"the","face",18
"children","have",18
"state","not",18
"states","ongoing",18
"can","and",18
"manage","their",18
"initiatives","that",18
"and","long",18
"voice","and",18
"any","funding",18
"facility","the",18
"assembly","february",18
"living","arrangements",18
"and","financial",18
"the","tourism",18
"that","with",18
"drug","abuse",18
"are","forced",18
"reach","the",18
"maintain","their",18
"from","her",18
"medicaid","rate",18
"might","not",18
"plan","and",18
"when","she",18
"men","and",18
"yale","new",18
"the","news",18
"services","have",18
"and","additional",18
"public","safety",18
"appropriation","committee",18
"staff","who",18
"this","agency",18
"energy","and",18
"their","ability",18
"submitting","this",18
"citizens","with",18
"reimbursement","rates",18
"the","coming",18
"that","works",18
"our","core",18
"was","one",18
"identify","and",18
"longterm","care",18
"director","connecticut",18
"protecting","the",18
"public","libraries",18
"other","than",18
"ensure","the",18
"grant","from",18
"that","state",18
"waiver","program",18
"block","grants",18
"only","organization",18
"the","educational",18
"positive","outcomes",18
"expertise","and",18
"and","resource",18
"fully","fund",18
"down","the",18
"lodging","industry",18
"investment","and",18
"program","line",18
"vulnerable","population",18
"february","public",18
"room","hartford",18
"people","that",18
"information","regarding",18
"deliver","high",18
"was","told",18
"looking","for",18
"are","vital",18
"crisis","and",18
"department","and",18
"other","people",18
"all","aspects",18
"provide","our",18
"more","important",18
"and","related",18
"budget","deficit",18
"the","collegiate",18
"agencies","the",18
"just","like",18
"the","biennium",18
"writing","this",18
"without","these",18
"women","rising",18
"for","appropriations",18
"with","local",18
"need","this",18
"the","problem",18
"this","means",18
"and","chronic",18
"learned","some",18
"that","dss",18
"few","months",18
"services","which",18
"necessary","for",18
"through","attrition",18
"for","case",18
"that","serves",18
"our","public",18
"and","universities",18
"with","others",18
"its","important",18
"positive","impact",18
"affordable","care",18
"yale","university",18
"school","teachers",18
"nutrition","programs",18
"west","haven",18
"she","would",18
"for","listening",18
"his","budget",18
"residential","waiting",18
"million","between",18
"for","college",18
"the","voice",18
"funds","from",18
"state","this",18
"hospitals","the",18
"the","model",18
"honors","program",18
"are","that",18
"etc","again",18
"and","friends",18
"sandy","hook",18
"supports","this",18
"and","vital",18
"and","well",18
"would","also",18
"how","grateful",18
"wednesday","february",18
"these","young",18
"our","connecticut",18
"will","the",18
"the","field",18
"risk","factors",18
"these","reductions",18
"from","mental",18
"institutions","and",18
"savings","and",18
"work","force",18
"past","three",18
"know","where",18
"overall","budget",18
"health","workers",18
"its","mission",18
"for","assistance",18
"have","pride",18
"time","that",18
"with","serious",18
"the","efforts",18
"our","service",18
"requests","for",18
"community","that",18
"stress","the",18
"that","should",18
"enter","the",18
"some","examples",18
"when","our",18
"childrens","trust",18
"the","global",18
"the","mentally",18
"skills","that",18
"will","require",18
"education","that",18
"and","honorable",18
"reductions","will",17
"strengthen","our",17
"waiver","and",17
"knowing","that",17
"govemors","proposed",17
"supportive","services",17
"received","the",17
"but","rather",17
"and","fellow",17
"the","lodging",17
"not","more",17
"connecticut","who",17
"the","true",17
"struggle","with",17
"the","whole",17
"meets","the",17
"familiar","with",17
"families","this",17
"acknowledging","the",17
"operations","account",17
"case","managers",17
"rescissions","and",17
"dds","has",17
"environmental","protection",17
"rehabilitation","services",17
"lifesaving","services",17
"been","made",17
"and","making",17
"with","one",17
"funded","through",17
"great","deal",17
"connecticut","needs",17
"hospital","emergency",17
"parent","and",17
"programs","this",17
"must","continue",17
"fringe","benefits",17
"some","time",17
"jeopardize","the",17
"afliated","with",17
"our","parents",17
"one","year",17
"patients","are",17
"residential","supports",17
"district","funding",17
"since","its",17
"been","removed",17
"become","the",17
"please","create",17
"for","adults",17
"students","will",17
"tobacco","use",17
"not","continue",17
"planning","for",17
"item","which",17
"medical","staff",17
"maintain","funding",17
"phone","fax",17
"meet","with",17
"jobs","they",17
"most","effective",17
"connecticut","health",17
"the","map",17
"reinstate","funding",17
"members","are",17
"governors","prevention",17
"continue","this",17
"schools","collaborative",17
"the","thousands",17
"has","led",17
"state","ethics",17
"and","safe",17
"dental","and",17
"ending","chronic",17
"and","impact",17
"why","the",17
"every","effort",17
"for","jobs",17
"data","and",17
"are","facing",17
"and","reduced",17
"management","services",17
"fair","wage",17
"you","about",17
"home","workers",17
"stop","the",17
"dss","has",17
"our","concerns",17
"and","deserves",17
"quality","services",17
"and","court",17
"and","receive",17
"other","members",17
"assistance","for",17
"how","important",17
"are","necessary",17
"the","type",17
"and","planning",17
"and","affordable",17
"and","advocates",17
"studies","show",17
"are","considered",17
"the","least",17
"program","appropriations",17
"and","learn",17
"our","population",17
"adequate","funding",17
"the","existing",17
"community","with",17
"have","and",17
"other","students",17
"this","issue",17
"value","the",17
"threaten","the",17
"out","that",17
"reduce","funding",17
"strongly","urge",17
"cpr","certification",17
"proposed","funding",17
"economic","opportunities",17
"the","passage",17
"employment","services",17
"his","life",17
"five","centers",17
"testimony","and",17
"time","with",17
"the","hard",17
"research","shows",17
"family","member",17
"central","regional",17
"programs","which",17
"local","health",17
"currently","serve",17
"important","need",17
"debt","service",17
"than","people",17
"middlesex","hospital",17
"february","written",17
"continue","the",17
"address","their",17
"brain","injuries",17
"net","for",17
"day","program",17
"make","our",17
"and","aging",17
"will","further",17
"their","care",17
"graduated","from",17
"start","parent",17
"perform","the",17
"would","still",17
"following","experience",17
"age","and",17
"the","affordable",17
"social","media",17
"the","ongoing",17
"despite","the",17
"children","from",17
"experiences","that",17
"the","issue",17
"support","these",17
"mui","mui",17
"challenges","that",17
"connecticuts","legislative",17
"haven","and",17
"year","with",17
"provide","this",17
"health","outcomes",17
"committee","budget",17
"serious","mental",17
"does","this",17
"felt","like",17
"will","increase",17
"and","give",17
"for","prevention",17
"and","grow",17
"across","our",17
"was","very",17
"requirement","for",17
"the","rape",17
"would","result",17
"home","the",17
"other","areas",17
"said","that",17
"done","every",17
"state","library",17
"dds","waiting",17
"and","harder",17
"from","physicians",17
"testimony","from",17
"connecticut","commission",17
"entire","state",17
"supports","that",17
"want","the",17
"year","for",16
"school","nutrition",16
"initiatives","and",16
"are","receiving",16
"budget","plan",16
"are","funded",16
"the","problems",16
"school","day",16
"and","suicide",16
"consolidated","into",16
"show","that",16
"for","shelter",16
"the","critically",16
"only","place",16
"under","this",16
"that","impact",16
"lives","the",16
"classes","and",16
"the","north",16
"bottom","line",16
"eastern","regional",16
"are","used",16
"public","housing",16
"positive","change",16
"connecticuts","community",16
"move","forward",16
"our","organization",16
"ago","and",16
"million","the",16
"get","help",16
"greater","than",16
"together","with",16
"each","and",16
"day","kimball",16
"again","and",16
"session","because",16
"and","still",16
"have","lived",16
"each","day",16
"the","hartford",16
"and","serve",16
